"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 13 09:35:39 UTC 2026","Fri Feb 13 09:35:39 UTC 2026","98","AllTestsSuite","UI Tests","framework.tests.ui.LoginTest","framework.tests.ui.LoginTest","loginWithValidUser","Login via valid credentials using test Data",""
"passed","Fri Feb 13 09:35:39 UTC 2026","Fri Feb 13 09:35:41 UTC 2026","1225","AllTestsSuite","UI Tests","framework.tests.ui.LoginTest","framework.tests.ui.LoginTest","validUserCanLogin","Login via valid credentials",""
