"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 13 09:32:25 UTC 2026","Fri Feb 13 09:32:25 UTC 2026","97","AllTestsSuite","UI Tests","framework.tests.ui.LoginTest","framework.tests.ui.LoginTest","loginWithValidUser","Login via valid credentials using test Data",""
"passed","Fri Feb 13 09:32:26 UTC 2026","Fri Feb 13 09:32:28 UTC 2026","1786","AllTestsSuite","UI Tests","framework.tests.ui.LoginTest","framework.tests.ui.LoginTest","validUserCanLogin","Login via valid credentials",""
