"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 13 09:26:41 UTC 2026","Fri Feb 13 09:26:42 UTC 2026","890","AllTestsSuite","UI Tests","framework.tests.ui.LoginTest","framework.tests.ui.LoginTest","validUserCanLogin","Login via valid credentials",""
"passed","Fri Feb 13 09:26:40 UTC 2026","Fri Feb 13 09:26:40 UTC 2026","97","AllTestsSuite","UI Tests","framework.tests.ui.LoginTest","framework.tests.ui.LoginTest","loginWithValidUser","Login via valid credentials using test Data",""
