"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 13 09:43:44 UTC 2026","Fri Feb 13 09:43:46 UTC 2026","2552","AllTestsSuite","UI Tests","framework.tests.ui.LoginTest","framework.tests.ui.LoginTest","validUserCanLogin","Login via valid credentials",""
"passed","Fri Feb 13 09:43:43 UTC 2026","Fri Feb 13 09:43:43 UTC 2026","92","AllTestsSuite","UI Tests","framework.tests.ui.LoginTest","framework.tests.ui.LoginTest","loginWithValidUser","Login via valid credentials using test Data",""
